hrr,name,state,n_hospitals,total_beds,degree_cent,betweenness_cent,eigenvector_cent,btw_rank,deg_rank,community
232,MI- ANN ARBOR,MI,12,2614,0.0297029702970297,0.038008436605249926,3.273975219929584e-05,85,17,9
233,MI- DEARBORN,MI,5,1376,0.009900990099009901,0.0023605009507573272,5.97019220230248e-06,224,251,9
234,MI- DETROIT,MI,14,4800,0.0165016501650165,0.0,2.6283376618653666e-06,281,142,9
235,MI- FLINT,MI,4,1059,0.019801980198019802,0.01969269774659585,1.3018911391232633e-06,130,93,9
236,MI- GRAND RAPIDS,MI,13,1570,0.0165016501650165,0.021528642930518215,2.1029416951713907e-06,127,142,9
238,MI- KALAMAZOO,MI,11,1247,0.019801980198019802,0.012480055952615128,2.921367293069118e-05,152,93,9
239,MI- LANSING,MI,10,1414,0.019801980198019802,0.004371298056958014,3.6359606632771595e-06,210,93,9
240,MI- MARQUETTE,MI,11,495,0.013201320132013201,0.026490066225165563,0.001054969131313198,113,198,10
242,MI- MUSKEGON,MI,4,281,0.006600660066006601,0.0,8.461898629147738e-08,281,286,9
243,MI- PETOSKEY,MI,5,355,0.009900990099009901,0.02915655803990995,3.6133136752654435e-05,108,251,9
244,MI- PONTIAC,MI,4,1040,0.009900990099009901,0.0,1.0413287968126582e-06,281,251,9
245,MI- ROYAL OAK,MI,7,2066,0.013201320132013201,0.0,1.6168444774705594e-06,281,198,9
246,MI- SAGINAW,MI,18,2021,0.019801980198019802,0.01667650208729482,2.5111438502831305e-06,144,93,9
248,MI- ST JOSEPH,MI,3,403,0.013201320132013201,0.04135247961882281,5.656993596123438e-06,78,198,9
249,MI- TRAVERSE CITY,MI,4,474,0.0165016501650165,0.01859987323235635,1.0461570594066768e-06,140,142,9
250,MN- DULUTH,MI,15,945,0.013201320132013201,0.0,0.015776834197546847,281,198,10
251,MN- MINNEAPOLIS,MN,69,8183,0.033003300330033,0.030773938320984413,0.12025445264418004,105,8,10
253,MN- ROCHESTER,IA,12,2382,0.0165016501650165,0.00646952112429786,0.016967759032433374,198,142,10
254,MN- ST CLOUD,MN,8,600,0.0033003300330033004,0.0,0.00855609893557716,281,299,10
256,MN- ST PAUL,MN,14,1890,0.006600660066006601,0.0,0.014977944327983226,281,286,10
257,MS- GULFPORT,MS,3,672,0.009900990099009901,0.019233711450615257,5.984204568028784e-06,134,251,1
258,MS- HATTIESBURG,MS,8,1113,0.019801980198019802,0.008884663300767162,8.764946880294288e-05,174,93,1
259,MS- JACKSON,LA,38,4017,0.0297029702970297,0.021550499420803008,0.0009906410118782326,126,17,1
260,MS- MERIDIAN,AL,11,821,0.019801980198019802,0.007638843354534129,0.0002403966475950949,183,93,1
